success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,FALSE
TRUE,FALSE,[],[],[],preload,0,28,0.0-0.0,104,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,1,17034,0.0-1.0,104,17004,"<p style=""text-align: center;"">מיד מתחילים.</p>",5,scan_wait,,,,,,,,,,,,,,,,,,FALSE
,,,,,html-keyboard-response,2,19043,0.0-2.0,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,3,21498,0.0-3.0-0.0,104,2450,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Oreo.PNG', width=""300"", height=""168.046875""></span></span>
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target2,target1,stimuli\Quakermaybe.png,stimuli\Tuna_ToGo.png,stimuli\Oreo.PNG,3,4,11,83.33333333,78.66666667,61.66666667,1,0,target2,,FALSE
,,,,,html-keyboard-response,4,28645,0.0-3.0-1.0,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,5,30064,0.0-3.0-0.1,104,1414,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\Quakermaybe.png,stimuli\Kikkoman.png,stimuli\Fitness_Chocolate.png,3,8,19,83.33333333,69.66666667,48,5,0,target1,,FALSE
,,,,,html-keyboard-response,6,38744,0.0-3.0-1.1,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,7,39788,0.0-3.0-0.2,104,1040,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Branflakes.png,stimuli\CocaCola2L.png,stimuli\Zippersmallbag.png,1,7,27,89.66666667,70,29,6,0,target2,,FALSE
,,,,,html-keyboard-response,8,48294,0.0-3.0-1.2,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,9,50472,0.0-3.0-0.3,104,2174,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                    </p>",2,trinary,,distractor,target2,target1,stimuli\Branflakes.png,stimuli\CocaCola2L.png,stimuli\Cafeelite.png,1,7,15,89.66666667,70,54,6,0,target2,,FALSE
,,,,,html-keyboard-response,10,58760,0.0-3.0-1.3,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,11,60185,0.0-3.0-0.4,104,1418,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\Branflakesextra.png,stimuli\Kikkoman.png,stimuli\Cafeelite.png,5,8,15,76.66666667,69.66666667,54,3,0,target1,,FALSE
,,,,,html-keyboard-response,12,69223,0.0-3.0-1.4,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,13,70794,0.0-3.0-0.5,104,1565,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Milka.PNG', width=""300"", height=""153.40710541642397""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,target1,target2,distractor,stimuli\Branflakes.png,stimuli\Milka.PNG,stimuli\Zippersmallbag.png,1,10,27,89.66666667,67.66666667,29,9,0,target1,,FALSE
,,,,,html-keyboard-response,14,79636,0.0-3.0-1.5,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,15,83651,0.0-3.0-0.6,104,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,,,FALSE
,,,,,html-keyboard-response,16,89475,0.0-3.0-1.6,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,17,91108,0.0-3.0-0.7,104,1626,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Milka.PNG', width=""300"", height=""153.40710541642397""></span></span>
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                      <span><span><img src='stimuli\Branflakes.png', width=""219.87127916331454"", height=""300""></span></span>
                    </p>",3,trinary,,target2,distractor,target1,stimuli\Branflakes.png,stimuli\Milka.PNG,stimuli\Fitness_Chocolate.png,1,10,19,89.66666667,67.66666667,48,9,0,target1,,FALSE
,,,,,html-keyboard-response,18,99063,0.0-3.0-1.7,104,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
